"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Argelia","DZA","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1.4","0.6","0.9","0.8","0.9","0.8","0.7","0.8","1.4","1.3","1.5","1.4","","","","",
"Asia oriental y el Pacífico (excluido altos ingresos)","EAP","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"inicial del dividendo demográfico","EAR","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Asia oriental y el Pacífico","EAS","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europa y Asia central (excluido altos ingresos)","ECA","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europa y Asia central","ECS","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.7","11","8.7","8.5","10.2","12","12.5","11","13.5","13.6","14.5","12.9","14.6","14.6","17.7","15.4","17.1","16","18","17.9","17.6","15.4","12.5","11","8.2","6.5","5.9","5.8","","",
"Egipto, República Árabe de","EGY","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","0.5","0.5","0.4","0.4","","","","","","","","","0.6","0.4","0.7","0.7","0.9","1.2","1.1","2.2","3.1","2.5","","","","","","","",
"Zona del Euro","EMU","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
